hour,junction,approach,flow_rate_veh_per_min,avg_speed_kmh,congestion_factor
6,Silk_Board,NS_Hosur_Road,15,35,0.2
6,Silk_Board,EW_ORR,8,40,0.1
6,Silk_Board,SW_Bannerghatta,10,38,0.15
6,Madiwala,NS_Hosur_Road,12,37,0.18
6,HSR_Layout,NS_Hosur_Road,8,40,0.1
6,BTM_Layout,NS_Bannerghatta,7,42,0.1
7,Silk_Board,NS_Hosur_Road,35,20,0.5
7,Silk_Board,EW_ORR,18,25,0.3
7,Silk_Board,SW_Bannerghatta,22,22,0.4
7,Madiwala,NS_Hosur_Road,28,22,0.45
7,HSR_Layout,NS_Hosur_Road,20,25,0.35
7,BTM_Layout,NS_Bannerghatta,15,28,0.3
8,Silk_Board,NS_Hosur_Road,55,8,0.85
8,Silk_Board,EW_ORR,30,12,0.7
8,Silk_Board,SW_Bannerghatta,35,10,0.75
8,Madiwala,NS_Hosur_Road,45,10,0.8
8,HSR_Layout,NS_Hosur_Road,32,12,0.65
8,BTM_Layout,NS_Bannerghatta,25,15,0.55
9,Silk_Board,NS_Hosur_Road,50,10,0.8
9,Silk_Board,EW_ORR,28,15,0.65
9,Silk_Board,SW_Bannerghatta,32,12,0.7
9,Madiwala,NS_Hosur_Road,40,12,0.75
9,HSR_Layout,NS_Hosur_Road,30,15,0.6
9,BTM_Layout,NS_Bannerghatta,22,18,0.5
10,Silk_Board,NS_Hosur_Road,38,18,0.55
10,Silk_Board,EW_ORR,22,22,0.4
10,Silk_Board,SW_Bannerghatta,25,20,0.45
10,Madiwala,NS_Hosur_Road,32,20,0.5
10,HSR_Layout,NS_Hosur_Road,22,22,0.4
10,BTM_Layout,NS_Bannerghatta,18,25,0.35
12,Silk_Board,NS_Hosur_Road,28,25,0.4
12,Silk_Board,EW_ORR,18,30,0.3
12,Silk_Board,SW_Bannerghatta,20,28,0.35
12,Madiwala,NS_Hosur_Road,24,28,0.38
12,HSR_Layout,NS_Hosur_Road,16,30,0.28
12,BTM_Layout,NS_Bannerghatta,14,32,0.25
14,Silk_Board,NS_Hosur_Road,22,30,0.35
14,Silk_Board,EW_ORR,15,35,0.25
14,Silk_Board,SW_Bannerghatta,18,32,0.3
14,Madiwala,NS_Hosur_Road,20,32,0.32
14,HSR_Layout,NS_Hosur_Road,14,35,0.22
14,BTM_Layout,NS_Bannerghatta,12,35,0.2
17,Silk_Board,NS_Hosur_Road,40,15,0.6
17,Silk_Board,EW_ORR,25,20,0.45
17,Silk_Board,SW_Bannerghatta,28,18,0.5
17,Madiwala,NS_Hosur_Road,35,18,0.55
17,HSR_Layout,NS_Hosur_Road,25,20,0.45
17,BTM_Layout,NS_Bannerghatta,20,22,0.4
18,Silk_Board,NS_Hosur_Road,58,6,0.9
18,Silk_Board,EW_ORR,35,10,0.75
18,Silk_Board,SW_Bannerghatta,38,8,0.8
18,Madiwala,NS_Hosur_Road,48,8,0.85
18,HSR_Layout,NS_Hosur_Road,35,10,0.7
18,BTM_Layout,NS_Bannerghatta,28,12,0.6
19,Silk_Board,NS_Hosur_Road,52,8,0.85
19,Silk_Board,EW_ORR,32,12,0.7
19,Silk_Board,SW_Bannerghatta,35,10,0.75
19,Madiwala,NS_Hosur_Road,42,10,0.8
19,HSR_Layout,NS_Hosur_Road,30,12,0.65
19,BTM_Layout,NS_Bannerghatta,24,15,0.55
20,Silk_Board,NS_Hosur_Road,35,20,0.5
20,Silk_Board,EW_ORR,22,25,0.4
20,Silk_Board,SW_Bannerghatta,25,22,0.45
20,Madiwala,NS_Hosur_Road,28,22,0.48
20,HSR_Layout,NS_Hosur_Road,20,25,0.38
20,BTM_Layout,NS_Bannerghatta,16,28,0.32
22,Silk_Board,NS_Hosur_Road,12,38,0.15
22,Silk_Board,EW_ORR,6,45,0.08
22,Silk_Board,SW_Bannerghatta,8,42,0.1
22,Madiwala,NS_Hosur_Road,10,40,0.12
22,HSR_Layout,NS_Hosur_Road,6,45,0.08
22,BTM_Layout,NS_Bannerghatta,5,48,0.06
